sector,macro,beta_005,beta_050,beta_095,t_005,t_095,asymmetry
XLP,US2Y,-0.001139918786977009,-0.0005670355165850957,-0.00023150403168362954,-1.1709716547070363,-0.2755535034229655,-0.0009084147552933793
XLP,VIX,-0.004346596286004982,-0.0016969169715922233,-0.0021116604704713984,-2.84978008682466,-1.0871534172988362,-0.0022349358155335838
XLRE,DXY,0.0009932854834723696,-0.0018585084215695985,-0.0008969873279468584,0.3220072495409196,-1.0404360677299165,0.001890272811419228
XLRE,OIL,0.0021310600124521085,-0.001695671624735567,-0.00018576770798371718,0.8775745077363558,-0.10999493258049882,0.0023168277204358256
XLRE,US10Y,-0.004294576580964418,-0.0021983826500763227,-0.001622007477746663,-1.893368959537735,-1.3788060382492884,-0.0026725691032177547
XLRE,US2Y,-8.723139506228882e-05,-0.0006397875740523261,-0.0001890907476853908,-0.04382049872735083,-0.17964787350471847,0.00010185935262310198
XLRE,VIX,-0.008049414766833251,-0.004976591234263088,-0.0047601620902863176,-4.112107149372524,-2.467221749848833,-0.0032892526765469334
XLU,DXY,0.0011746940302466934,-0.0010287465483559723,-0.0023772108992827835,0.5885177164040851,-3.479844806267833,0.0035519049295294767
XLU,OIL,-0.0008531606497663136,-0.0003599197885371169,0.0008051167184872628,-0.4693155337551266,0.4627709034768964,-0.0016582773682535764
XLU,US10Y,-0.0029011351577493153,-0.0025758445277924555,-0.0022100709041951755,-1.698714694326455,-2.6145930904171664,-0.0006910642535541398
XLU,US2Y,-0.0022310679819113515,-0.0004379900680818194,-0.0013163413633282392,-1.0815351025522486,-1.2359104257198237,-0.0009147266185831123
XLU,VIX,-0.00579175416300056,-0.003964590410287248,-0.0027556592702239896,-3.101393446240177,-1.478377893453808,-0.00303609489277657
XLV,DXY,-0.00046032273126614506,-0.0017365122211014123,-0.00017774526431859204,-0.16963504408467664,-0.11206365715583316,-0.000282577466947553
XLV,OIL,-0.0008285221449344172,-0.0025697044018792217,-0.0014609433627271043,-0.4548869313752288,-1.2057042929071506,0.0006324212177926872
XLV,US10Y,-0.0023778646537878055,-0.0019527443460664287,-0.0016889539631388729,-1.3229758930230804,-0.9899840350849675,-0.0006889106906489326
XLV,US2Y,0.0018971736228902446,-0.0005838629307047592,0.0014490192408690976,1.6230285136770584,0.6629288929980749,0.000448154382021147
XLV,VIX,-0.005980125020858146,-0.0049412787275224836,-0.004915584791192699,-3.3839663175868373,-5.1447683723249344,-0.0010645402296654474
XLY,DXY,0.0026071142690993294,-0.0015543167485842775,0.00043842523404221485,1.1514271708639765,0.22221062343847942,0.0021686890350571144
XLY,OIL,0.0013183141619133147,-0.004089967203079402,-0.0018016756679542466,0.5357070603688883,-1.4816391138140967,0.003119989829867561
XLY,US10Y,0.0014887405430153643,-0.002325137730729155,-0.0024823106668020933,0.5705100699059994,-1.6260448607735922,0.003971051209817457
XLY,US2Y,0.0005058878337911433,-0.0003687787060262156,-0.0019470256248119277,0.26450234724196775,-0.8264728537058861,0.002452913458603071
XLY,VIX,-0.010633158204890593,-0.012416933880308605,-0.010057962750157811,-6.723402728735851,-3.182036082063064,-0.0005751954547327815
